time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-07-20 13:55:12.265 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,268044017664,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1532094911607, , , , ,3145728,1218, , , ,57,4,168,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , ,1,9,36243944,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 13:55:43.136 UTC, ,125,3158773,952,12920, , ,3, ,20,3,0.15, , , , , , , ,3,3, ,2, ,2,1,5, ,17,8, , , , , , , , , , , , , ,1218,1, ,573, , , , ,1266,268043997184,-1,-1, , , , , ,1,21, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1532094942710, , , , ,3145728,1218, , ,15,0, , , ,2, , , ,3, , , , ,15, ,2048,1, , , , ,98681,26, , , , , , , , ,1,7,39385328,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 13:56:56.559 UTC, ,125,3165717,1184,19864, , ,4, ,150,4,0.03, , , , , , , ,4,4, ,60, ,2,2,6, ,88,9, , , , , , , , , , , , , ,11224,2,8521,8521,1,1,3,7,11274,268043956224,17,17, , , , , ,2,82, , , , , , , , , , , , , , , , , , , , , , , , , ,11274, ,1532095015889, , , , ,3145728,11224, , ,17,133,1,210,1,4,1, , ,3,2, , , ,17, ,2048,1, , , , ,121238,32,2823,1, , , , , , ,1,6,41398808,-1, , , , , , ,87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 13:59:28.678 UTC, ,125,3160245,1184,14392, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,11224,2, ,8521, , , , ,11274,268043911168,17,17, , , , , ,2,95, , , , , , , , , , , , , , , , , , , , , , , , , ,11274, ,1532095168171, , , , ,3145728,11224, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,119324,32, , , , , , , , ,1,8,40202600,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 14:00:28.683 UTC, ,125,3168581,1184,22616,112, ,4, ,64,1,0.02, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,11224,2, ,8521, , , , ,15268,268043902976,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15268, ,1532095168171, , , , ,3145728,15239, , ,3,28, ,28, ,3,2, , ,3,1, , , ,3,1, , , , , , ,10278,6,3994,2, , , , , , ,1,5,41317752,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , 
2018-07-20 15:39:07.432 UTC, ,125,3175341,1184,29488, , ,4,1,233,4,0.02, , , , , , , ,4,4, ,102,1,2,2,6, ,132,10, , , , , , , , , , , , , ,31616,3,21239,21239,1, ,2,4,31666,268030844928,18,18, , , , , ,3,195, , , , , , , , , , , , , , , , , , , , , , , , , ,31666, ,1532101146748, , , , ,3145728,31616, , ,21,37,1,38,1,4,1, , ,3,2, , , ,21, ,2048,1, , , , ,209436,46,10497,1, , , , , , ,1,6,42903760,-1, , , , , , ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:40:07.435 UTC, ,589,3178981,1184,32552,112, ,5, ,65, , , , , , , , , ,5,4, , , ,2,3,6, ,2,1, , , , , , , , , , , , , ,31616,3,21239,21239, , , , ,43185,268030832640,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43185, ,1532101146748, , , , ,3145728,45123, , ,1,117, ,137, ,3,2, , ,3,2, , , ,1,1, , , , , , ,6182,4,13486,2, , , , , , , , ,46586128,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , 
2018-07-20 15:41:07.435 UTC, ,589,3173085,1184,26656,112, ,4, ,384, , , , , , , , , ,4,4, , , ,2,2,6, ,2, , , , , , , , , , , , , , ,31616,3,21239,21239, , , , ,73241,268030771200,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,73241, ,1532101146748, , , , ,3145728,91521, , , ,41,2,138,2, ,5, , ,3,5, , , , ,1, , , , , , , , ,46399,5, , , , , , , , ,51520736,-1, , , , , , ,20963, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,261, ,201,42,261,2,1, , , , , , , 
2018-07-20 15:42:07.437 UTC, ,589,3178173,1184,31744,112, ,5, ,427, , , , , , , , , ,5,4, , , ,2,3,6, , , , , , , , , , , , , , , , ,31616,3,21239,21239, , , , ,104981,268030701568,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,104981, ,1532101146748, , , , ,3145728,106958, , , ,34, ,55, , ,3, , ,3,2, , , , ,1, , , , , , , , ,15437,3, , , , , , , , ,52980952,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,363, , ,3, , , , , , , 
2018-07-20 15:49:27.294 UTC, ,125,3178877,1184,33024, , ,5,1,1185,5,0.00, , , , , , , ,5,4, ,572,1,2,3,6, ,616,11, , , , , , , , , , , , , ,116146,4,107878,107878,1, ,3,6,116199,268030619648,11,11, , , , , ,14,779, , , , , , , , , , , , , , , , , , , , , , , , , ,116199, ,1532101766584, , , , ,3145728,116146, , ,22,38,1,38,1,4,1, , ,3,2, , , ,22, ,2048,1, , , ,2,1037839,149,8392,1, , , , , , ,1,8,44458504,-1, , , , , , ,611, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:50:27.294 UTC, ,589,3184645,1184,38216,112, ,7, ,66, , , , , , , , , ,7,4, , , ,2,5,6, ,2,1, , , , , , , , , , , , , ,116146,4,107878,107878, , , , ,118176,268030619648,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,118176, ,1532101766584, , , , ,3145728,139358, , ,1,10, ,10, ,3,2, , ,3,1, , , ,1,1, , , , , , ,6182,4,23189,2, , , , , , , , ,49157600,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , 
2018-07-20 15:51:27.303 UTC, ,589,3191005,1184,44576,112, ,7, ,243, , , , , , , , , ,7,4, , , ,2,5,6, , , , , , , , , , , , , , , , ,116146,4,107878,107878, , , , ,145349,268030582784,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,145349, ,1532101766584, , , , ,3145728,145319, , , ,23, ,57, , ,3, , ,3,3, , , , ,1, , , , , , , , ,5961,3, , , , , , , , ,50971368,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,180, , ,3, , , , , , , 
2018-07-20 15:52:27.304 UTC, ,589,3196285,1184,49856,112, ,7, ,423, , , , , , , , , ,7,4, , , ,2,5,6, , , , , , , , , , , , , , , , ,116146,4,107878,107878, , , , ,151370,268030582784,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,151370, ,1532101766584, , , , ,3145728,151340, , , ,159, ,196, , ,3, , ,3,3, , , , ,1, , , , , , , , ,6021,3, , , , , , , , ,51706592,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,360, , ,3, , , , , , , 
2018-07-20 16:25:45.073 UTC, ,125,3186821,1184,40968, , ,6,1,451,6,0.01, , , , , , , ,6,4, ,203,1,2,4,6, ,253,12, , , , , , , , , , , , , ,174389,5,165179,165179,1,2,1,3,174442,268030214144,15,15, , , , , ,21,999, , , , , , , , , , , , , , , , , , , , , , , , , ,174442, ,1532103944389, , , , ,3145728,174389, , ,24,60,1,84,1,4,1, , ,3,2, , , ,24, ,2048,1, , , ,3,897132,134,9334,1, , , , , , ,1,7,43641264,-1, , , , , , ,246, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 16:26:45.074 UTC, ,589,3192469,1184,46040,112, ,7, ,65, , , , , , , , , ,7,4, , , ,2,5,6, ,2,1, , , , , , , , , , , , , ,174389,5,165179,165179, , , , ,176419,268030210048,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,176419, ,1532103944389, , , , ,3145728,188332, , ,1,20, ,20, ,3,2, , ,3,1, , , ,1,1, , , , , , ,6182,4,13920,2, , , , , , , , ,48365800,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , 
2018-07-20 16:27:45.084 UTC, ,589,3199525,1184,53096,112, ,9, ,245, , , , , , , , , ,9,4, , , ,2,7,5, , , , , , , , , , , , , , , , ,174389,5,165179,165179, , , , ,192336,268030193664,15,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,192336, ,1532103944389, , , , ,3145728,214573, , , ,40, ,79, , ,3, , ,3,3, , , , ,1, , , , , , , , ,26241,3, , , , , , , , ,50179264,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,180, , ,3, , , , , , , 
2018-07-20 16:28:45.089 UTC, ,589,3204829,1184,58400,112, ,9, ,422, , , , , , , , , ,9,4, , , ,2,7,5, , , , , , , , , , , , , , , , ,174389,5,165179,165179, , , , ,218617,268030111744,16,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,218617, ,1532103944389, , , , ,3145728,220495, , , ,20, ,44, , ,3, , ,3,3, , , , ,1, , , , , , , , ,5922,3, , , , , , ,1,5,49593392,-1, , , , , , ,62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59,360, , ,3, , , , , , , 
