time,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2018-07-20 15:09:04.131 UTC, , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,268046331904,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1532099343474,3145728,1377, , , ,87,4,297,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , , , ,35671544,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:10:04.133 UTC, , , , , , , ,125,3167797,21832,112, ,4, ,63, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,3758,268039606272,30,30,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3758,1532099343474,3145728,5676, , , ,48,1,82,1,2,3, ,3,3, , , , , , , , , , ,4096,2,4276,3, , , , , , , , ,50331648,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , , , , 
2018-07-20 15:11:04.136 UTC, , , , , , , ,125,3174133,28168,112, ,4, ,243, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,9593,268029005824,12,12,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9593,1532099343474,3145728,11511, , , ,25, ,57, , ,3, ,3,3, , , , , , , , , , , , ,5835,3, , , , , , , , ,50331648,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,180, , ,3, , , , , , , , , , 
2018-07-20 15:12:04.138 UTC, , , , , , , ,589,3178941,32512,112, ,5, ,424, , , , , , , , , ,5,4, , , , ,3,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,24885,268028903424,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24885,1532099343474,3145728,26823, , , ,52, ,101, , ,3, ,3,3, , , , , , , , , , , , ,15312,3, , , , , , ,1,15,21590648,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,360, , ,3, , , , , , , , , , 
2018-07-20 15:12:54.736 UTC, , , , , , , ,125,3178485,32632, , ,5, ,396,5,0.01, , , , , , , ,5,4, ,183, ,2,3,5, ,212,11, , , , , , , , , , , , , ,36634,2,28858,28858,1,1,3,7,36684,268028928000,23,23,23,23, , , , , ,4,210, , , , , , , , , , , , , , , , , , , , , , , , , ,36684,1532099574292,3145728,36634, , ,20,131,1,131,1,4,1, ,3,2, ,20, ,2048,1, , , ,2, ,378326,67,7896,1, , , , , , , , ,38815368,-1, , , , , , ,211, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:13:54.742 UTC, , , , , , , ,589,3183101,36672,112, ,6, ,65, , , , , , , , , ,6,4, , , ,2,4,4, ,2,1, , , , , , , , , , , , , ,36634,2,28858,28858, , , , ,38619,268028923904,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38619,1532099574292,3145728,50005, , ,1,22, ,22, ,3,2, ,3,1, ,1,1, , , , , , , ,6183,4,13348,3, , , , , , , , ,42842200,-1, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20, , ,2, , , , , , , , , , 
2018-07-20 15:14:30.463 UTC, , , , , , , ,125,3170085,24232, , ,4,1,153,4,0.03, , , , , , , ,4,4, ,62,1,2,2,5, ,92,12, , , , , , , , , , , , , ,53444,3,52020,52020,1,1,1,3,53494,268028899328,23,23,23,23, , , , , ,7,286, , , , , , , , , , , , , , , , , , , , , , , , , ,53494,1532099670086,3145728,53444, , ,22,42,1,42,1,4,1, ,3,2, ,22, ,2048,1, , , ,1, ,343140,64,1544,1, , , , , , , , ,37562136,-1, , , , , , ,89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:15:30.467 UTC, , , , , , , ,125,3172397,25312,1232, ,4, ,17, , , , , , , , , ,4,4, , , ,2,2,4, ,2,1, , , , , , , , , , , , , ,53444,3,52020,52020, , , , ,54832,268028891136,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54832,1532099670086,3145728,54737, , ,1,46, ,46, ,3, , ,3,1, ,1,1, , , , , , , ,6183,4,1338,1, , , , , , , , ,41588936,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , ,1, , , , , , , , , , 
2018-07-20 15:16:30.470 UTC, , , , , , , ,125,3172397,25312,1232, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,53444,3,52020,52020, , , , ,54832,268028874752,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54832,1532099670086,3145728,54737, , , ,0, , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,41588936,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-07-20 15:17:30.471 UTC, , , , , , , ,125,3172397,25312,1232, ,4, , , , , , , , , , , ,4,4, , , ,2,2,4, , , , , , , , , , , , , , , , ,53444,3,52020,52020, , , , ,54832,268028874752,22,22,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54832,1532099670086,3145728,54737, , , ,0, , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,41588936,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
